Group	Clade	A	B	C	D1	D2	E1	E2.1	E2.2	E3	F1	F2	F3
BAB	BA.2	0.096030043	0.06223176	0.206008584	0.230150215	0.07027897	0.096566524	0.120171674	0.064914163	0.011802575	0.012875536	0.010193133	0.018776824
BAB	BA.2.12.1	0.045307443	0.056634304	0.134304207	0.305825243	0.181229773	0.088996764	0.090614887	0.024271845	0.029126214	0.011326861	0.021035599	0.011326861
BAC	BA.4	0.058394161	0.02919708	0.051094891	0.306569343	0.240875912	0.131386861	0.109489051	0.00729927	0.01459854	0.01459854	0.00729927	0.02919708
BAC	BA.4.1	0.040816327	0.045918367	0.071428571	0.316326531	0.239795918	0.107142857	0.112244898	0.025510204	0.015306122	0.015306122	0.010204082	0
BAC	BA.5	0.047619048	0.023809524	0.083333333	0.285714286	0.19047619	0.130952381	0.142857143	0.035714286	0.023809524	0.011904762	0	0.023809524
BAC	BA.5.1	0.043604651	0.04505814	0.0625	0.287790698	0.212209302	0.132267442	0.135174419	0.030523256	0.014534884	0.013081395	0.013081395	0.010174419
BAC	BA.5.5	0.016853933	0.039325843	0.061797753	0.314606742	0.247191011	0.140449438	0.106741573	0.005617978	0.02247191	0.011235955	0.011235955	0.02247191
BAC	BE.1	0.03196347	0.03652968	0.082191781	0.301369863	0.178082192	0.150684932	0.155251142	0.01369863	0.01826484	0.01369863	0.00456621	0.01369863
BAC	BA.5.6	0.070588235	0.052941176	0.064705882	0.3	0.223529412	0.123529412	0.123529412	0.005882353	0.011764706	0	0.005882353	0.017647059
BAC	BA.5.2.1	0.07523511	0.064263323	0.086206897	0.28369906	0.244514107	0.090909091	0.089341693	0.021943574	0.029780564	0.006269592	0.003134796	0.004702194
BAC	BA.5.2	0.050890585	0.038167939	0.057251908	0.301526718	0.207379135	0.139949109	0.138676845	0.019083969	0.015267176	0.012722646	0.013994911	0.005089059
BAC	BA.4.6	0.130177515	0.094674556	0.130177515	0.224852071	0.153846154	0.094674556	0.088757396	0.01183432	0.029585799	0.017751479	0.017751479	0.00591716
